1;172705;3.865;108.875;964.149;960.284
2;31409;2.242;107.315;942.931;940.689
3;200110;9.865;101.584;877.786;867.921
4;32430;3.149;66.8259;826.699;823.55
5;30644;90.222;496.278;902.334;812.112
6;59689;1.918;73.7727;806.266;804.348
7;286095;56.715;455.788;854.86;798.145
8;12167;32.462;431.335;830.209;797.747
9;180463;2.923;67.1244;800.071;797.148
10;48290;47.927;445.733;843.538;795.611
11;235046;75.335;472.32;869.305;793.97
12;21460;3.445;114.975;793.897;790.452
13;262737;4.974;79.5187;795.26;790.286
14;158585;3.168;81.8956;786.902;783.734
15;986;33.053;422.075;811.098;778.045
16;12157;2.229;73.9795;777.966;775.737
17;115415;21.164;407.284;793.404;772.24
18;274502;1.991;60.2074;770.591;768.6
19;164469;35.82;418.276;800.732;764.912
20;299333;1.844;52.6212;765.98;764.136
21;167454;1.594;53.2621;765.392;763.798
22;294090;1.527;67.1786;764.793;763.266
23;224254;1.717;41.4042;764.737;763.02
24;25792;22.589;104.47;782.94;760.351
25;105810;3.102;70.4492;763.385;760.283
26;125473;72.009;451.653;831.296;759.287
27;192568;210.726;590.012;969.298;758.572
28;290146;81.183;458.188;835.193;754.01
29;245861;90.01;466.726;843.443;753.433
30;41318;120.329;496.107;871.886;751.557
31;75007;98.822;474.419;850.016;751.194
32;297439;23.7;398.619;773.537;749.837
33;132093;12.698;142.448;759.916;747.218
34;169512;3.651;111.817;748.313;744.662
35;142350;64.982;435.844;806.707;741.725
36;39164;2.439;60.3687;739.394;736.955
37;209123;2.205;72.142;739.141;736.936
38;172652;106.244;470.161;834.079;727.835
39;181963;2.651;47.9524;728.742;726.091
40;18605;4.004;71.6715;729.921;725.917
41;74144;97.219;458.805;820.391;723.172
42;110567;73.784;434.692;795.6;721.816
43;127819;92.439;453.042;813.645;721.206
44;113502;3.01;78.9695;723.513;720.503
45;233969;3.794;66.1903;723.768;719.974
46;226944;2.379;51.9348;722.147;719.768
47;73697;3.826;65.2282;723.13;719.304
48;147623;59.085;418.019;776.952;717.867
49;165538;91.411;450.187;808.963;717.552
50;95796;11.419;116.053;728.732;717.313
